0,1,2,3,4,5,6,7,8,9,10,11
0,"Italy failed to qualify for the 2003 Women 's World Cup , which begins on Sept. 20 with doubleheaders in Philadelphia and Columbus , Ohio .",no_relation,World Cup,Philadelphia,MISC,LOC,0-1,0-2," , which begins on Sept. 20 with doubleheaders in ",6,"[10, 13, 17, 18, 19, 24, 20]"
1,"Mr. Klaassen is on both the Chamber of Commerce 's board and that of its research arm , the National Chamber Foundation .",no_relation,Mr. Klaassen,Chamber of Commerce,PER,ORG,1-1,1-2, is on both the ,6,"[1, 2, 3, 10, 6, 7, 8]"
2,"David Chase , '' The Sopranos : Pilot , '' HBO",no_relation,David Chase,HBO,PER,ORG,2-1,2-2," , '' The Sopranos : Pilot , '' ",1,"[1, 10]"
3,"Over all , blue America subsidizes red America to the tune of $ 90 billion or so each year .",subsidizes,America,America,LOC,LOC,3-1,3-2,,0,[4]
4,"Ryan Toews , 24 , single , a driver in the Tennessee National Guard 's 1174th Transportation Company in Dresden , asked , '' Heard of the Mennonites ? ''",no_relation,Tennessee National Guard,Dresden,ORG,LOC,4-1,4-2, 's 1174th Transportation Company in ,3,"[13, 17, 18, 19]"
5,"'' If Orrin Hatch came in third place in the Iowa caucuses , that would be bigger news that George Bush winning , '' said James Camp , Mr. Hatch 's national political director .",no_relation,Iowa,George Bush,LOC,PER,5-1,5-2," caucuses , that would be bigger news that ",9,"[10, 11, 8, 7, 5, 4, 15, 17, 21, 20]"
6,"The Rev. F. Wayne Weiss performed the ceremony at Covenant Presbyterian Church in Upper Arlington , Ohio .",no_relation,Upper Arlington,Ohio,LOC,LOC,6-1,6-2," , ",1,"[14, 16]"
7,"Singapore will not charge the Pentagon for the additional use of its territory , officials said , but the United States will train Singaporean military personnel as compensation .",train military personnel,United States,Singaporean,LOC,LOC,7-1,7-2, will train ,3,"[20, 22, 25, 23]"
8,"\* Poughkeepsie Savings Bank , Poughkeepsie , N.Y. , named Christoph Schmidt president , replacing Michael Feeks , who resigned .",no_relation,N.Y.,Christoph Schmidt,LOC,PER,8-1,8-2," , named ",5,"[8, 6, 4, 10, 13, 12]"
9,"This week 's final between Spain and Australia in a 14,000-seat arena in Barcelona , Spain , is sold out .",no_relation,Spain,Barcelona,MISC,LOC,9-1,9-2," and Australia in a 14,000-seat arena in ",6,"[5, 4, 3, 8, 11, 12, 13]"
10,"Paul Windels , Jr. , Chairman Board of Trustees Joan G. Wexler , Dean",no_relation,Paul Windels,Jr.,PER,PER,10-1,10-2," , ",1,"[1, 3]"
11,"But Comstock , convinced that he was chosen by God to fight sin , will eventually force the hounded Sanger to leave her family and flee to London .",no_relation,God,Sanger,MISC,PER,11-1,11-2," to fight sin , will eventually force the hounded ",5,"[9, 8, 7, 3, 16, 19]"
13,The game quickly spread to Texas and New Orleans and rode the riverboats up the Mississippi River and to New York .,no_relation,New Orleans,Mississippi River,LOC,LOC,13-1,13-2, and rode the riverboats up the ,6,"[8, 5, 4, 3, 10, 13, 16]"
14,"`` It was the best weekend of my life , '' said Mike Pugliese , 21 , of the Bronx .",no_relation,Mike Pugliese,Bronx,PER,LOC,14-1,14-2," , 21 , of the ",2,"[14, 18, 20]"
15,"But Coach Pat Riley , while stopping well short of predicting a championship , made it clear on the eve of Friday 's season opener in Atlanta that he expected the Knicks to mesh quickly , seven new players or not .",no_relation,Atlanta,Knicks,LOC,MISC,15-1,15-2, that he expected the ,9,"[26, 25, 24, 20, 19, 17, 16, 29, 33, 31]"
